"seqnames"	"start"	"end"	"width"	"strand"	"target"
"chr1"	27106991	27106991	1	"+"	1
"chr1"	28148807	28148807	1	"+"	1
"chr1"	28176687	28176687	1	"+"	1
"chr1"	28176751	28176751	1	"+"	1
"chr1"	28293272	28293272	1	"+"	1
"chr1"	28563024	28563024	1	"+"	1
"chr1"	28563083	28563083	1	"+"	1
"chr1"	28607355	28607355	1	"+"	1
"chr1"	28607496	28607496	1	"+"	1
"chr1"	28607554	28607554	1	"+"	1
"chr1"	28607657	28607657	1	"+"	1
"chr1"	28800447	28800447	1	"+"	1
"chr1"	28864510	28864510	1	"+"	1
"chr1"	28865082	28865082	1	"+"	1
"chr1"	29069205	29069205	1	"+"	1
"chr1"	29069283	29069283	1	"+"	1
"chr1"	29069611	29069611	1	"+"	1
"chr1"	29069849	29069849	1	"+"	1
"chr1"	29069993	29069993	1	"+"	1
"chr1"	29070177	29070177	1	"+"	1
"chr1"	29314183	29314183	1	"+"	1
"chr1"	29446002	29446002	1	"+"	1
"chr1"	31227939	31227939	1	"+"	1
"chr1"	32635570	32635570	1	"+"	1
"chr1"	32636618	32636618	1	"+"	1
"chr1"	32636669	32636669	1	"+"	1
"chr1"	32641834	32641834	1	"+"	1
"chr1"	32660615	32660615	1	"+"	1
"chr1"	32660648	32660648	1	"+"	1
"chr1"	33145389	33145389	1	"+"	1
"chr1"	33151597	33151597	1	"+"	1
"chr1"	33237642	33237642	1	"+"	1
"chr1"	35579502	35579502	1	"+"	1
"chr1"	35885324	35885324	1	"+"	1
"chr1"	36026109	36026109	1	"+"	1
"chr1"	36558836	36558836	1	"+"	1
"chr1"	36752265	36752265	1	"+"	1
"chr1"	36754759	36754759	1	"+"	1
"chr1"	36769593	36769593	1	"+"	1
"chr1"	36769790	36769790	1	"+"	1
"chr1"	36770769	36770769	1	"+"	1
"chr1"	38266106	38266106	1	"+"	1
"chr1"	39469887	39469887	1	"+"	1
"chr1"	39853966	39853966	1	"+"	1
"chr1"	40194148	40194148	1	"+"	1
"chr1"	40219199	40219199	1	"+"	1
"chr1"	40758202	40758202	1	"+"	1
"chr1"	40758308	40758308	1	"+"	1
"chr1"	40758366	40758366	1	"+"	1
"chr1"	43317295	43317295	1	"+"	1
"chr1"	43317446	43317446	1	"+"	1
"chr1"	43916584	43916584	1	"+"	1
"chr1"	44069324	44069324	1	"+"	1
"chr1"	44087851	44087851	1	"+"	1
"chr1"	44088175	44088175	1	"+"	1
"chr1"	44170336	44170336	1	"+"	1
"chr1"	44170362	44170362	1	"+"	1
"chr1"	44415759	44415759	1	"+"	1
"chr1"	44456167	44456167	1	"+"	1
"chr1"	45241718	45241718	1	"+"	1
"chr1"	46500571	46500571	1	"+"	1
"chr1"	46500649	46500649	1	"+"	1
"chr1"	46500993	46500993	1	"+"	1
"chr1"	46501766	46501766	1	"+"	1
"chr1"	47905398	47905398	1	"+"	1
"chr1"	52552458	52552458	1	"+"	1
"chr1"	52703570	52703570	1	"+"	1
"chr1"	52883578	52883578	1	"+"	1
"chr1"	53236822	53236822	1	"+"	1
"chr1"	53236863	53236863	1	"+"	1
"chr1"	53323364	53323364	1	"+"	1
"chr1"	53363019	53363019	1	"+"	1
"chr1"	54562455	54562455	1	"+"	1
"chr1"	55207396	55207396	1	"+"	1
"chr1"	55207742	55207742	1	"+"	1
"chr1"	55207822	55207822	1	"+"	1
"chr1"	57169781	57169781	1	"+"	1
"chr1"	62905571	62905571	1	"+"	1
"chr1"	62910606	62910606	1	"+"	1
"chr1"	62916295	62916295	1	"+"	1
"chr1"	62916579	62916579	1	"+"	1
"chr1"	64125539	64125539	1	"+"	1
"chr1"	65157481	65157481	1	"+"	1
"chr1"	65157801	65157801	1	"+"	1
"chr1"	67450328	67450328	1	"+"	1
"chr1"	68153563	68153563	1	"+"	1
"chr1"	70716414	70716414	1	"+"	1
"chr1"	70716484	70716484	1	"+"	1
"chr1"	74670639	74670639	1	"+"	1
"chr1"	82408961	82408961	1	"+"	1
"chr1"	82409268	82409268	1	"+"	1
"chr1"	82456588	82456588	1	"+"	1
"chr1"	84543939	84543939	1	"+"	1
"chr1"	84544694	84544694	1	"+"	1
"chr1"	86048908	86048908	1	"+"	1
"chr1"	87570408	87570408	1	"+"	1
"chr1"	87810655	87810655	1	"+"	1
"chr1"	89299140	89299140	1	"+"	1
"chr1"	90049982	90049982	1	"+"	1
"chr1"	90399532	90399532	1	"+"	1
"chr1"	90400683	90400683	1	"+"	1
"chr1"	90400981	90400981	1	"+"	1
"chr1"	90473053	90473053	1	"+"	1
"chr1"	91989744	91989744	1	"+"	1
"chr1"	93812275	93812275	1	"+"	1
"chr1"	100547738	100547738	1	"+"	1
"chr1"	101552581	101552581	1	"+"	1
"chr1"	107599761	107599761	1	"+"	1
"chr1"	107600446	107600446	1	"+"	1
"chr1"	109780511	109780511	1	"+"	1
"chr1"	109780620	109780620	1	"+"	1
"chr1"	109780705	109780705	1	"+"	1
"chr1"	109780749	109780749	1	"+"	1
"chr1"	110033935	110033935	1	"+"	1
"chr1"	110135150	110135150	1	"+"	1
"chr1"	110596592	110596592	1	"+"	1
"chr1"	110882938	110882938	1	"+"	1
"chr1"	110883295	110883295	1	"+"	1
"chr1"	110883601	110883601	1	"+"	1
"chr1"	110883763	110883763	1	"+"	1
"chr1"	110883904	110883904	1	"+"	1
"chr1"	110884138	110884138	1	"+"	1
"chr1"	110884224	110884224	1	"+"	1
"chr1"	110884414	110884414	1	"+"	1
"chr1"	110884663	110884663	1	"+"	1
"chr1"	110884696	110884696	1	"+"	1
"chr1"	110884765	110884765	1	"+"	1
"chr1"	110915058	110915058	1	"+"	1
"chr1"	112308651	112308651	1	"+"	1
"chr1"	112308913	112308913	1	"+"	1
"chr1"	112309010	112309010	1	"+"	1
"chr1"	112309550	112309550	1	"+"	1
"chr1"	112998941	112998941	1	"+"	1
"chr1"	112999109	112999109	1	"+"	1
"chr1"	112999201	112999201	1	"+"	1
"chr1"	112999918	112999918	1	"+"	1
"chr1"	113666626	113666626	1	"+"	1
"chr1"	114225892	114225892	1	"+"	1
"chr1"	114454137	114454137	1	"+"	1
"chr1"	114454345	114454345	1	"+"	1
"chr1"	114454481	114454481	1	"+"	1
"chr1"	114454928	114454928	1	"+"	1
"chr1"	114483110	114483110	1	"+"	1
"chr1"	114483603	114483603	1	"+"	1
"chr1"	114483884	114483884	1	"+"	1
"chr1"	114484015	114484015	1	"+"	1
"chr1"	116834190	116834190	1	"+"	1
"chr1"	117492081	117492081	1	"+"	1
"chr1"	117617828	117617828	1	"+"	1
"chr1"	117618336	117618336	1	"+"	1
"chr1"	117910858	117910858	1	"+"	1
"chr1"	119683396	119683396	1	"+"	1
"chr1"	120277972	120277972	1	"+"	1
"chr1"	145688212	145688212	1	"+"	1
"chr1"	150020257	150020257	1	"+"	1
"chr1"	150444117	150444117	1	"+"	1
"chr1"	150444683	150444683	1	"+"	1
"chr1"	150445024	150445024	1	"+"	1
"chr1"	150445467	150445467	1	"+"	1
"chr1"	150445683	150445683	1	"+"	1
"chr1"	150479643	150479643	1	"+"	1
"chr1"	150933352	150933352	1	"+"	1
"chr1"	151007486	151007486	1	"+"	1
"chr1"	151206717	151206717	1	"+"	1
"chr1"	151220681	151220681	1	"+"	1
"chr1"	151220723	151220723	1	"+"	1
"chr1"	151259507	151259507	1	"+"	1
"chr1"	151259720	151259720	1	"+"	1
"chr1"	151260807	151260807	1	"+"	1
"chr1"	153617844	153617844	1	"+"	1
"chr1"	153745742	153745742	1	"+"	1
"chr1"	154321712	154321712	1	"+"	1
"chr1"	154321881	154321881	1	"+"	1
"chr1"	154934607	154934607	1	"+"	1
"chr1"	154988899	154988899	1	"+"	1
"chr1"	154989233	154989233	1	"+"	1
"chr1"	155290328	155290328	1	"+"	1
"chr1"	155708153	155708153	1	"+"	1
"chr1"	156698581	156698581	1	"+"	1
"chr1"	156756466	156756466	1	"+"	1
"chr1"	156756540	156756540	1	"+"	1
"chr1"	156756707	156756707	1	"+"	1
"chr1"	156770262	156770262	1	"+"	1
"chr1"	156770363	156770363	1	"+"	1
"chr1"	156770458	156770458	1	"+"	1
"chr1"	160388904	160388904	1	"+"	1
"chr1"	161130647	161130647	1	"+"	1
"chr1"	161928467	161928467	1	"+"	1
"chr1"	162492355	162492355	1	"+"	1
"chr1"	162535863	162535863	1	"+"	1
"chr1"	162750143	162750143	1	"+"	1
"chr1"	165877265	165877265	1	"+"	1
"chr1"	166818514	166818514	1	"+"	1
"chr1"	166818945	166818945	1	"+"	1
"chr1"	166819001	166819001	1	"+"	1
"chr1"	166822047	166822047	1	"+"	1
"chr1"	166822188	166822188	1	"+"	1
"chr1"	171483250	171483250	1	"+"	1
"chr1"	171505225	171505225	1	"+"	1
"chr1"	171509318	171509318	1	"+"	1
"chr1"	171509972	171509972	1	"+"	1
"chr1"	171560823	171560823	1	"+"	1
"chr1"	171560936	171560936	1	"+"	1
"chr1"	171765667	171765667	1	"+"	1
"chr1"	173794131	173794131	1	"+"	1
"chr1"	175474688	175474688	1	"+"	1
"chr1"	178427378	178427378	1	"+"	1
"chr1"	178442515	178442515	1	"+"	1
"chr1"	179064456	179064456	1	"+"	1
"chr1"	179322932	179322932	1	"+"	1
"chr1"	179887014	179887014	1	"+"	1
"chr1"	179887290	179887290	1	"+"	1
"chr1"	179965953	179965953	1	"+"	1
"chr1"	180081618	180081618	1	"+"	1
"chr1"	181057961	181057961	1	"+"	1
"chr1"	181059139	181059139	1	"+"	1
"chr1"	181059353	181059353	1	"+"	1
"chr1"	181059544	181059544	1	"+"	1
"chr1"	183111816	183111816	1	"+"	1
"chr1"	183111849	183111849	1	"+"	1
"chr1"	183522371	183522371	1	"+"	1
"chr1"	198289004	198289004	1	"+"	1
"chr1"	200818051	200818051	1	"+"	1
"chr1"	200819042	200819042	1	"+"	1
"chr1"	200819160	200819160	1	"+"	1
"chr1"	201845316	201845316	1	"+"	1
"chr1"	201845593	201845593	1	"+"	1
"chr1"	201847537	201847537	1	"+"	1
"chr1"	201848372	201848372	1	"+"	1
"chr1"	203766433	203766433	1	"+"	1
"chr1"	203816596	203816596	1	"+"	1
"chr1"	203822928	203822928	1	"+"	1
"chr1"	204095360	204095360	1	"+"	1
"chr1"	204518430	204518430	1	"+"	1
"chr1"	206637003	206637003	1	"+"	1
"chr1"	206906141	206906141	1	"+"	1
"chr1"	210024588	210024588	1	"+"	1
"chr1"	210025024	210025024	1	"+"	1
"chr1"	210415117	210415117	1	"+"	1
"chr1"	210415699	210415699	1	"+"	1
"chr1"	211486118	211486118	1	"+"	1
"chr1"	211487123	211487123	1	"+"	1
"chr1"	212274055	212274055	1	"+"	1
"chr1"	212274134	212274134	1	"+"	1
"chr1"	212276264	212276264	1	"+"	1
"chr1"	212793016	212793016	1	"+"	1
"chr1"	214814656	214814656	1	"+"	1
"chr1"	214815469	214815469	1	"+"	1
"chr1"	214815629	214815629	1	"+"	1
"chr1"	214818047	214818047	1	"+"	1
"chr1"	214818336	214818336	1	"+"	1
"chr1"	214819041	214819041	1	"+"	1
"chr1"	214820350	214820350	1	"+"	1
"chr1"	214820491	214820491	1	"+"	1
"chr1"	214837121	214837121	1	"+"	1
"chr1"	215793496	215793496	1	"+"	1
"chr1"	220987284	220987284	1	"+"	1
"chr1"	222803327	222803327	1	"+"	1
"chr1"	222838930	222838930	1	"+"	1
"chr1"	223178581	223178581	1	"+"	1
"chr1"	224377449	224377449	1	"+"	1
"chr1"	224377920	224377920	1	"+"	1
"chr1"	224380250	224380250	1	"+"	1
"chr1"	224380349	224380349	1	"+"	1
"chr1"	227174473	227174473	1	"+"	1
"chr1"	227843244	227843244	1	"+"	1
"chr1"	227935809	227935809	1	"+"	1
"chr1"	227968644	227968644	1	"+"	1
"chr1"	228285623	228285623	1	"+"	1
"chr1"	228363055	228363055	1	"+"	1
"chr1"	228548830	228548830	1	"+"	1
"chr1"	228682083	228682083	1	"+"	1
"chr1"	229770952	229770952	1	"+"	1
"chr1"	229771420	229771420	1	"+"	1
"chr1"	229772062	229772062	1	"+"	1
"chr1"	229772126	229772126	1	"+"	1
"chr1"	229772413	229772413	1	"+"	1
"chr1"	229772556	229772556	1	"+"	1
"chr1"	229772665	229772665	1	"+"	1
"chr1"	229773002	229773002	1	"+"	1
"chr1"	230415287	230415287	1	"+"	1
"chr1"	230415392	230415392	1	"+"	1
"chr1"	230415607	230415607	1	"+"	1
"chr1"	230829189	230829189	1	"+"	1
"chr1"	230829215	230829215	1	"+"	1
"chr1"	233518257	233518257	1	"+"	1
"chr1"	235505547	235505547	1	"+"	1
"chr1"	235505646	235505646	1	"+"	1
"chr1"	237061077	237061077	1	"+"	1
"chr1"	237067046	237067046	1	"+"	1
"chr1"	238358526	238358526	1	"+"	1
"chr1"	240255761	240255761	1	"+"	1
"chr1"	240370581	240370581	1	"+"	1
"chr1"	242035464	242035464	1	"+"	1
"chr1"	242042322	242042322	1	"+"	1
"chr1"	244094866	244094866	1	"+"	1
"chr1"	244217627	244217627	1	"+"	1
"chr1"	244217672	244217672	1	"+"	1
"chr1"	244218355	244218355	1	"+"	1
"chr1"	244218394	244218394	1	"+"	1
"chr1"	244218632	244218632	1	"+"	1
"chr1"	244218660	244218660	1	"+"	1
"chr1"	244869004	244869004	1	"+"	1
"chr1"	244869085	244869085	1	"+"	1
"chr1"	244869117	244869117	1	"+"	1
"chr1"	244869275	244869275	1	"+"	1
"chr1"	249141730	249141730	1	"+"	1
"chr1"	249142499	249142499	1	"+"	1
"chr1"	919567	919567	1	"-"	1
"chr1"	934375	934375	1	"-"	1
"chr1"	934423	934423	1	"-"	1
"chr1"	1190409	1190409	1	"-"	1
"chr1"	1236019	1236019	1	"-"	1
"chr1"	1247193	1247193	1	"-"	1
"chr1"	1309598	1309598	1	"-"	1
"chr1"	1322432	1322432	1	"-"	1
"chr1"	1322595	1322595	1	"-"	1
"chr1"	1326381	1326381	1	"-"	1
"chr1"	1477121	1477121	1	"-"	1
"chr1"	1477329	1477329	1	"-"	1
"chr1"	1596691	1596691	1	"-"	1
"chr1"	1597003	1597003	1	"-"	1
"chr1"	1597061	1597061	1	"-"	1
"chr1"	1683747	1683747	1	"-"	1
"chr1"	2111107	2111107	1	"-"	1
"chr1"	2115499	2115499	1	"-"	1
"chr1"	2116234	2116234	1	"-"	1
"chr1"	2116392	2116392	1	"-"	1
"chr1"	3662804	3662804	1	"-"	1
"chr1"	3663215	3663215	1	"-"	1
"chr1"	3703456	3703456	1	"-"	1
"chr1"	3731754	3731754	1	"-"	1
"chr1"	3807348	3807348	1	"-"	1
"chr1"	6283113	6283113	1	"-"	1
"chr1"	6283150	6283150	1	"-"	1
"chr1"	6283946	6283946	1	"-"	1
"chr1"	6284087	6284087	1	"-"	1
"chr1"	6284139	6284139	1	"-"	1
"chr1"	6284801	6284801	1	"-"	1
"chr1"	6284857	6284857	1	"-"	1
"chr1"	6285084	6285084	1	"-"	1
"chr1"	6285121	6285121	1	"-"	1
"chr1"	6285147	6285147	1	"-"	1
"chr1"	6653444	6653444	1	"-"	1
"chr1"	6695548	6695548	1	"-"	1
"chr1"	8073373	8073373	1	"-"	1
"chr1"	8418832	8418832	1	"-"	1
"chr1"	9210592	9210592	1	"-"	1
"chr1"	9210969	9210969	1	"-"	1
"chr1"	9790261	9790261	1	"-"	1
"chr1"	9990231	9990231	1	"-"	1
"chr1"	10510390	10510390	1	"-"	1
"chr1"	10510715	10510715	1	"-"	1
"chr1"	10516852	10516852	1	"-"	1
"chr1"	11112821	11112821	1	"-"	1
"chr1"	11167100	11167100	1	"-"	1
"chr1"	16475001	16475001	1	"-"	1
"chr1"	16577097	16577097	1	"-"	1
"chr1"	16577400	16577400	1	"-"	1
"chr1"	16577723	16577723	1	"-"	1
"chr1"	16578064	16578064	1	"-"	1
"chr1"	17734488	17734488	1	"-"	1
"chr1"	17734747	17734747	1	"-"	1
"chr1"	17735150	17735150	1	"-"	1
"chr1"	20826902	20826902	1	"-"	1
"chr1"	21268285	21268285	1	"-"	1
"chr1"	21268329	21268329	1	"-"	1
"chr1"	21268573	21268573	1	"-"	1
"chr1"	21544762	21544762	1	"-"	1
"chr1"	21545558	21545558	1	"-"	1
"chr1"	23415122	23415122	1	"-"	1
"chr1"	23415392	23415392	1	"-"	1
"chr1"	23636754	23636754	1	"-"	1
"chr1"	23637071	23637071	1	"-"	1
"chr1"	23637238	23637238	1	"-"	1
"chr1"	23688050	23688050	1	"-"	1
"chr1"	23836283	23836283	1	"-"	1
"chr1"	24684336	24684336	1	"-"	1
"chr1"	26161521	26161521	1	"-"	1
"chr1"	26161611	26161611	1	"-"	1
"chr1"	26227456	26227456	1	"-"	1
"chr1"	26227494	26227494	1	"-"	1
"chr1"	27216310	27216310	1	"-"	1
"chr1"	27223938	27223938	1	"-"	1
"chr1"	27875007	27875007	1	"-"	1
"chr1"	27875637	27875637	1	"-"	1
"chr1"	28906951	28906951	1	"-"	1
"chr1"	29474477	29474477	1	"-"	1
"chr1"	29474900	29474900	1	"-"	1
"chr1"	29475565	29475565	1	"-"	1
"chr1"	31347261	31347261	1	"-"	1
"chr1"	31406098	31406098	1	"-"	1
"chr1"	31437582	31437582	1	"-"	1
"chr1"	32096111	32096111	1	"-"	1
"chr1"	32682134	32682134	1	"-"	1
"chr1"	32800159	32800159	1	"-"	1
"chr1"	32827460	32827460	1	"-"	1
"chr1"	32831686	32831686	1	"-"	1
"chr1"	32832020	32832020	1	"-"	1
"chr1"	32832147	32832147	1	"-"	1
"chr1"	33241384	33241384	1	"-"	1
"chr1"	33241467	33241467	1	"-"	1
"chr1"	33474004	33474004	1	"-"	1
"chr1"	33474104	33474104	1	"-"	1
"chr1"	33790473	33790473	1	"-"	1
"chr1"	35321019	35321019	1	"-"	1
"chr1"	35321293	35321293	1	"-"	1
"chr1"	35656459	35656459	1	"-"	1
"chr1"	35657014	35657014	1	"-"	1
"chr1"	36179727	36179727	1	"-"	1
"chr1"	36181526	36181526	1	"-"	1
"chr1"	36186398	36186398	1	"-"	1
"chr1"	36200889	36200889	1	"-"	1
"chr1"	36230021	36230021	1	"-"	1
"chr1"	36230133	36230133	1	"-"	1
"chr1"	36602717	36602717	1	"-"	1
"chr1"	36859549	36859549	1	"-"	1
"chr1"	38463032	38463032	1	"-"	1
"chr1"	42744090	42744090	1	"-"	1
"chr1"	43212155	43212155	1	"-"	1
"chr1"	44463163	44463163	1	"-"	1
"chr1"	44463380	44463380	1	"-"	1
"chr1"	46126710	46126710	1	"-"	1
"chr1"	46751519	46751519	1	"-"	1
"chr1"	47184494	47184494	1	"-"	1
"chr1"	47899272	47899272	1	"-"	1
"chr1"	47899453	47899453	1	"-"	1
"chr1"	51537752	51537752	1	"-"	1
"chr1"	51822414	51822414	1	"-"	1
"chr1"	52520839	52520839	1	"-"	1
"chr1"	52521133	52521133	1	"-"	1
"chr1"	52818517	52818517	1	"-"	1
"chr1"	52940870	52940870	1	"-"	1
"chr1"	52992027	52992027	1	"-"	1
"chr1"	53153329	53153329	1	"-"	1
"chr1"	53153582	53153582	1	"-"	1
"chr1"	54580700	54580700	1	"-"	1
"chr1"	55223937	55223937	1	"-"	1
"chr1"	55317368	55317368	1	"-"	1
"chr1"	55532266	55532266	1	"-"	1
"chr1"	55532462	55532462	1	"-"	1
"chr1"	59148127	59148127	1	"-"	1
"chr1"	59247370	59247370	1	"-"	1
"chr1"	59247469	59247469	1	"-"	1
"chr1"	59247693	59247693	1	"-"	1
"chr1"	59247740	59247740	1	"-"	1
"chr1"	59247816	59247816	1	"-"	1
"chr1"	59247871	59247871	1	"-"	1
"chr1"	59248383	59248383	1	"-"	1
"chr1"	59248862	59248862	1	"-"	1
"chr1"	67878471	67878471	1	"-"	1
"chr1"	67878759	67878759	1	"-"	1
"chr1"	78097648	78097648	1	"-"	1
"chr1"	78097921	78097921	1	"-"	1
"chr1"	78098390	78098390	1	"-"	1
"chr1"	78098562	78098562	1	"-"	1
"chr1"	80557687	80557687	1	"-"	1
"chr1"	85718195	85718195	1	"-"	1
"chr1"	85733468	85733468	1	"-"	1
"chr1"	91382453	91382453	1	"-"	1
"chr1"	91403400	91403400	1	"-"	1
"chr1"	91404950	91404950	1	"-"	1
"chr1"	91406680	91406680	1	"-"	1
"chr1"	92941003	92941003	1	"-"	1
"chr1"	92941295	92941295	1	"-"	1
"chr1"	93620173	93620173	1	"-"	1
"chr1"	113456620	113456620	1	"-"	1
"chr1"	113460077	113460077	1	"-"	1
"chr1"	113460267	113460267	1	"-"	1
"chr1"	113460468	113460468	1	"-"	1
"chr1"	113460584	113460584	1	"-"	1
"chr1"	115110686	115110686	1	"-"	1
"chr1"	115316887	115316887	1	"-"	1
"chr1"	115316917	115316917	1	"-"	1
"chr1"	117119938	117119938	1	"-"	1
"chr1"	120165782	120165782	1	"-"	1
"chr1"	120166651	120166651	1	"-"	1
"chr1"	120457604	120457604	1	"-"	1
"chr1"	120458429	120458429	1	"-"	1
"chr1"	120459116	120459116	1	"-"	1
"chr1"	144891916	144891916	1	"-"	1
"chr1"	144902921	144902921	1	"-"	1
"chr1"	144931993	144931993	1	"-"	1
"chr1"	149821070	149821070	1	"-"	1
"chr1"	149898432	149898432	1	"-"	1
"chr1"	149915871	149915871	1	"-"	1
"chr1"	149916092	149916092	1	"-"	1
"chr1"	149916204	149916204	1	"-"	1
"chr1"	150238451	150238451	1	"-"	1
"chr1"	150238534	150238534	1	"-"	1
"chr1"	150238926	150238926	1	"-"	1
"chr1"	150549780	150549780	1	"-"	1
"chr1"	150551423	150551423	1	"-"	1
"chr1"	150551974	150551974	1	"-"	1
"chr1"	150581843	150581843	1	"-"	1
"chr1"	150620999	150620999	1	"-"	1
"chr1"	150939594	150939594	1	"-"	1
"chr1"	151025606	151025606	1	"-"	1
"chr1"	151025663	151025663	1	"-"	1
"chr1"	151265069	151265069	1	"-"	1
"chr1"	151288338	151288338	1	"-"	1
"chr1"	151288547	151288547	1	"-"	1
"chr1"	151377501	151377501	1	"-"	1
"chr1"	151378066	151378066	1	"-"	1
"chr1"	151378267	151378267	1	"-"	1
"chr1"	151732227	151732227	1	"-"	1
"chr1"	153634686	153634686	1	"-"	1
"chr1"	153634791	153634791	1	"-"	1
"chr1"	153800553	153800553	1	"-"	1
"chr1"	153947091	153947091	1	"-"	1
"chr1"	154179916	154179916	1	"-"	1
"chr1"	154522647	154522647	1	"-"	1
"chr1"	154522712	154522712	1	"-"	1
"chr1"	154522777	154522777	1	"-"	1
"chr1"	154554814	154554814	1	"-"	1
"chr1"	154557304	154557304	1	"-"	1
"chr1"	154573825	154573825	1	"-"	1
"chr1"	154574009	154574009	1	"-"	1
"chr1"	154574722	154574722	1	"-"	1
"chr1"	154909337	154909337	1	"-"	1
"chr1"	154931733	154931733	1	"-"	1
"chr1"	154931789	154931789	1	"-"	1
"chr1"	154931994	154931994	1	"-"	1
"chr1"	155408313	155408313	1	"-"	1
"chr1"	155408628	155408628	1	"-"	1
"chr1"	155447928	155447928	1	"-"	1
"chr1"	155449133	155449133	1	"-"	1
"chr1"	155451308	155451308	1	"-"	1
"chr1"	155629600	155629600	1	"-"	1
"chr1"	155722337	155722337	1	"-"	1
"chr1"	155883084	155883084	1	"-"	1
"chr1"	155883143	155883143	1	"-"	1
"chr1"	155883840	155883840	1	"-"	1
"chr1"	155917541	155917541	1	"-"	1
"chr1"	155917631	155917631	1	"-"	1
"chr1"	155978922	155978922	1	"-"	1
"chr1"	155978995	155978995	1	"-"	1
"chr1"	156046626	156046626	1	"-"	1
"chr1"	156219055	156219055	1	"-"	1
"chr1"	156235985	156235985	1	"-"	1
"chr1"	156278834	156278834	1	"-"	1
"chr1"	156280781	156280781	1	"-"	1
"chr1"	156696875	156696875	1	"-"	1
"chr1"	157094830	157094830	1	"-"	1
"chr1"	157095220	157095220	1	"-"	1
"chr1"	157095570	157095570	1	"-"	1
"chr1"	160000186	160000186	1	"-"	1
"chr1"	160000743	160000743	1	"-"	1
"chr1"	160187155	160187155	1	"-"	1
"chr1"	160259367	160259367	1	"-"	1
"chr1"	161009678	161009678	1	"-"	1
"chr1"	161091911	161091911	1	"-"	1
"chr1"	161141457	161141457	1	"-"	1
